trial,learning_rate,lr_scheduler_type,weight_decay,rouge1,rouge2,rougeL,rougeLsum,,,
lr0.0002_schedlinear_wd0.0,0.0002,linear,0,0.067,0,0.067,0.067,,,
lr0.0003_schedcosine_wd0.0,0.0003,cosine,0,0.06,0,0.06,0.06,,,
lr0.00025_schedcosine_wd0.01,0.00025,cosine,0.01,0.06,0,0.06,0.06,,,
lr0.0001_schedcosine_wd0.01,0.0001,cosine,0.01,0.056666666666666664,0.01,0.056666666666666664,0.056666666666666664,,,
lr0.00015_schedlinear_wd0.05,0.00015,linear,0.05,0.05,0,0.05,0.05,,,
lr0.00015_schedcosine_wd0.0,0.00015,cosine,0,0.046666667,0.01,0.043333333,0.046666667,,,
lr0.0001_schedlinear_wd0.0,0.0001,linear,0,0.046666667,0.01,0.043333333,0.046666667,,,
lr0.0003_schedlinear_wd0.01,0.0003,linear,0.01,0.04019802,0,0.04,0.04019802,,,
lr0.00025_schedlinear_wd0.05,0.00025,linear,0.05,0.04,0,0.04,0.04,,,
lr0.00025_schedlinear_wd0.0,0.00025,linear,0,0.04,0,0.04,0.04,,,
lr0.0003_schedlinear_wd0.0,0.0003,linear,0,0.04,0,0.04,0.04,,,
lr0.00015_schedcosine_wd0.05,0.00015,cosine,0.05,0.036666667,0.005,0.035,0.036666667,,,
lr0.0002_schedcosine_wd0.01,0.0002,cosine,0.01,0.036666667,0.01,0.033333333,0.036666667,,,
lr0.0001_schedlinear_wd0.05,0.0001,linear,0.05,0.036666667,0.01,0.033333333,0.036666667,,,
lr0.0003_schedcosine_wd0.05,0.0003,cosine,0.05,0.036666667,0.01,0.033333333,0.036666667,,,z
lr0.00025_schedcosine_wd0.0,0.00025,cosine,0,0.036666667,0.01,0.033333333,0.036666667,,,
lr0.0002_schedlinear_wd0.05,0.0002,linear,0.05,0.03,0,0.03,0.03,,,
lr0.00015_schedlinear_wd0.01,0.00015,linear,0.01,0.03,0,0.03,0.03,,,
lr0.0001_schedcosine_wd0.05,0.0001,cosine,0.05,0.03,0,0.03,0.03,,,
lr0.0002_schedcosine_wd0.0,0.0002,cosine,0,0.03,0,0.03,0.03,,,
lr0.00025_schedcosine_wd0.05,0.00025,cosine,0.05,0.03,0,0.03,0.03,,,
lr0.0001_schedcosine_wd0.0,0.0001,cosine,0,0.03,0,0.03,0.03,,,
lr0.00015_schedlinear_wd0.0,0.00015,linear,0,0.03,0.01,0.029999999999999995,0.03,,,
lr0.0003_schedlinear_wd0.05,0.0003,linear,0.05,0.03,0.01,0.03,0.03,,,
lr0.0001_schedlinear_wd0.01,0.0001,linear,0.01,0.025714286,0.004,0.025714286,0.025714286,0.025714286,,
lr0.0003_schedcosine_wd0.01,0.0003,cosine,0.01,0.026666667,0,0.023333333,0.026666667,0.026666667,,
lr0.0002_schedlinear_wd0.01,0.0002,linear,0.01,0.026666667,0,0.023333333,0.026666667,0.026666667,,
lr0.00015_schedcosine_wd0.01,0.00015,cosine,0.01,0.026666667,0,0.023333333,0.026666667,0.026666667,,
lr0.0002_schedcosine_wd0.05,0.0002,cosine,0.05,0.026666667,0,0.023333333,0.026666667,0.026666667,,
lr0.00025_schedlinear_wd0.01,0.00025,linear,0.01,0.026666667,0,0.023333333,0.026666667,0.026666667,,
